City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bandarbeyla,SO,9.4942,50.8122,81.46,65,71,29.21,broken clouds
1,Komsomolskiy,UZ,40.4272,71.7189,88.52,20,0,4.61,clear sky
2,Manaus,BR,-3.1019,-60.025,81.09,89,100,5.75,overcast clouds
3,Quthing,LS,-30.4,27.7003,61.86,12,0,4.03,clear sky
4,Aguimes,ES,27.9054,-15.4461,74.66,88,40,10.36,scattered clouds
5,Port Alfred,ZA,-33.5906,26.891,64.18,55,30,5.99,scattered clouds
6,Tezu,IN,27.9167,96.1667,76.86,97,100,2.51,overcast clouds
7,Bengkulu,ID,-3.8004,102.2655,79.07,81,86,0.74,moderate rain
8,Ribeira Grande,PT,38.5167,-28.7,77.4,78,20,8.05,few clouds
9,Port Shepstone,ZA,-30.7414,30.455,63.57,55,53,15.52,broken clouds
10,Haines Junction,CA,60.7522,-137.5108,28.35,93,82,1.14,broken clouds
11,Harare,ZW,-17.8294,31.0539,69.82,44,33,16.17,scattered clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,69.55,90,97,3.0,overcast clouds
13,Bluff,NZ,-46.6,168.3333,52.52,86,84,11.43,broken clouds
14,Ushuaia,AR,-54.8,-68.3,44.26,61,20,8.05,few clouds
15,Aasiaat,GL,68.7098,-52.8699,36.48,97,100,17.49,light rain
16,Nikolskoye,RU,59.7035,30.7861,50.88,94,100,11.23,moderate rain
17,Saskylakh,RU,71.9167,114.0833,44.04,94,100,11.34,light rain
18,Qasigiannguit,GL,68.8193,-51.1922,35.06,97,100,13.2,light snow
19,Abha,SA,18.2164,42.5053,84.45,10,40,11.5,scattered clouds
20,Rikitea,PF,-23.1203,-134.9692,72.52,82,2,5.08,clear sky
21,Jamestown,US,42.097,-79.2353,65.52,69,0,8.05,clear sky
22,Vaini,TO,-21.2,-175.2,68.16,88,20,6.91,few clouds
23,Bamberg,DE,49.8795,10.8863,73.83,66,100,7.52,overcast clouds
24,Mataura,NZ,-46.1927,168.8643,49.01,83,66,3.36,broken clouds
25,Contepec,MX,20.0167,-100.1167,50.22,93,97,3.67,light rain
26,Busselton,AU,-33.65,115.3333,52.65,75,16,9.73,few clouds
27,Cape Town,ZA,-33.9258,18.4232,74.08,28,0,7.0,clear sky
28,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,79,69,8.79,broken clouds
29,Mitsamiouli,KM,-11.3847,43.2844,80.89,65,75,20.71,light rain
30,Karratha,AU,-20.7377,116.8463,73.74,57,1,8.12,clear sky
31,Haileybury,CA,47.449,-79.6373,48.78,91,62,4.16,broken clouds
32,East London,ZA,-33.0153,27.9116,65.34,48,20,11.5,few clouds
33,Namibe,AO,-15.1961,12.1522,74.48,68,8,14.38,clear sky
34,Khatanga,RU,71.9667,102.5,45.05,78,73,14.97,broken clouds
35,Goderich,CA,43.7501,-81.7165,70.92,73,74,17.27,broken clouds
36,Kodiak,US,57.79,-152.4072,50.95,88,100,11.7,light rain
37,Butaritari,KI,3.0707,172.7902,81.95,77,26,17.02,scattered clouds
38,Pangody,RU,65.85,74.4859,49.32,57,97,15.55,overcast clouds
39,Nizhniy Odes,RU,63.6445,54.856,54.41,44,98,9.91,overcast clouds
40,Arraial Do Cabo,BR,-22.9661,-42.0278,64.36,68,20,4.61,few clouds
41,Saldanha,ZA,-33.0117,17.9442,78.85,35,0,5.61,clear sky
42,Msanga,TZ,-6.05,36.0333,82.78,32,57,12.1,broken clouds
43,La Joya,MX,18.6667,-99.4667,71.17,95,79,2.73,broken clouds
44,Tabou,CI,4.423,-7.3528,78.48,82,81,11.68,moderate rain
45,Mwingi,KE,-0.9344,38.0601,84.74,31,40,12.19,scattered clouds
46,Hithadhoo,MV,-0.6,73.0833,81.97,71,44,15.68,scattered clouds
47,Atuona,PF,-9.8,-139.0333,76.44,69,11,20.42,few clouds
48,Geraldton,AU,-28.7667,114.6,57.61,88,0,10.36,clear sky
49,Cherskiy,RU,68.75,161.3,36.61,90,74,8.93,broken clouds
50,Nedjo,ET,9.5046,35.5019,67.82,82,23,3.33,light rain
51,Cabo San Lucas,MX,22.8909,-109.9124,83.05,78,100,4.0,overcast clouds
52,Sabha,LY,27.0377,14.4283,99.07,15,0,4.25,clear sky
53,Aklavik,CA,68.2191,-135.0107,50.47,76,39,6.67,scattered clouds
54,Inongo,CD,-1.95,18.2667,75.07,72,40,1.99,scattered clouds
55,Barrow,US,71.2906,-156.7887,37.42,100,100,13.8,mist
56,Dyurtyuli,RU,55.4911,54.8688,87.6,27,22,15.32,few clouds
57,Port Elizabeth,ZA,-33.918,25.5701,68.09,54,0,12.66,clear sky
58,Hermanus,ZA,-34.4187,19.2345,67.8,40,0,18.1,clear sky
59,Praia Da Vitoria,PT,38.7333,-27.0667,78.76,88,75,5.01,broken clouds
60,Albany,US,42.6001,-73.9662,65.17,95,36,6.82,scattered clouds
61,Avarua,CK,-21.2078,-159.775,75.25,88,75,6.91,broken clouds
62,Chumikan,RU,54.7183,135.315,56.66,79,85,4.88,overcast clouds
63,Ilhabela,BR,-23.7781,-45.3581,64.87,70,26,9.4,scattered clouds
64,Beringovskiy,RU,63.05,179.3167,44.24,86,100,11.72,light rain
65,Upernavik,GL,72.7868,-56.1549,39.65,70,8,4.83,clear sky
66,Thinadhoo,MV,0.5333,72.9333,82.02,73,84,16.55,broken clouds
67,Ous,RU,60.9058,61.5186,48.69,96,100,9.22,overcast clouds
68,Kachug,RU,53.9606,105.8817,53.65,74,95,4.54,overcast clouds
69,Snizhne,UA,48.0261,38.7723,93.09,17,16,4.47,few clouds
70,Punta Arenas,CL,-53.15,-70.9167,41.11,81,40,8.05,scattered clouds
71,Anadyr,RU,64.75,177.4833,43.3,100,100,20.13,light intensity drizzle
72,Hami,CN,42.8,93.45,83.89,15,89,10.0,overcast clouds
73,Mount Isa,AU,-20.7333,139.5,74.97,50,59,5.75,light rain
74,Mount Gambier,AU,-37.8333,140.7667,45.07,91,72,5.73,broken clouds
75,Bowen,AU,-20.0167,148.2333,67.95,87,69,11.99,broken clouds
76,Abalak,RU,58.1286,68.5944,78.22,48,98,8.99,overcast clouds
77,Cockburn Town,TC,21.4612,-71.1419,82.85,77,52,13.24,broken clouds
78,Tasiilaq,GL,65.6145,-37.6368,37.92,98,100,6.44,light rain
79,Pangnirtung,CA,66.1451,-65.7125,41.0,75,20,3.44,few clouds
80,Samarai,PG,-10.6167,150.6667,80.31,84,90,10.18,overcast clouds
81,Buala,SB,-8.145,159.5921,79.3,85,100,10.71,light rain
82,Naze,JP,28.3667,129.4833,81.52,83,88,14.47,overcast clouds
83,Olafsvik,IS,64.8945,-23.7142,46.94,94,100,12.26,overcast clouds
84,Aviles,ES,43.5547,-5.9248,69.19,77,100,8.05,overcast clouds
85,Mandalgovi,MN,45.7625,106.2708,60.48,38,7,6.78,clear sky
86,Mao,ES,39.8885,4.2658,75.76,88,40,4.61,heavy intensity shower rain
87,Talnakh,RU,69.4865,88.3972,47.21,61,88,8.72,overcast clouds
88,Nome,US,64.5011,-165.4064,50.07,93,100,8.05,moderate rain
89,Kavieng,PG,-2.5744,150.7967,82.81,78,63,16.96,broken clouds
90,Hobart,AU,-42.8794,147.3294,55.26,63,20,5.75,few clouds
91,Sicamous,CA,50.8331,-118.9856,58.17,71,56,3.15,broken clouds
92,Luoyang,CN,34.6836,112.4536,77.34,58,43,6.24,scattered clouds
93,Linguere,SN,15.3953,-15.1193,82.62,83,75,9.22,broken clouds
94,Lasa,IT,46.6166,10.7002,71.69,70,70,2.73,broken clouds
95,Nishihara,JP,26.1842,127.7558,85.68,79,75,31.07,moderate rain
96,Methoni,GR,36.8197,21.7049,87.66,68,3,11.74,clear sky
97,Ilulissat,GL,69.2167,-51.1,34.54,98,100,9.42,light snow
98,Selishche,RU,56.8879,33.2691,50.88,85,100,11.77,overcast clouds
99,Hilo,US,19.7297,-155.09,77.29,96,82,1.01,broken clouds
100,Ostersund,SE,63.1792,14.6357,54.61,62,20,11.5,few clouds
101,Mwense,ZM,-10.3845,28.698,91.72,18,7,8.03,clear sky
102,Bambanglipuro,ID,-7.95,110.2833,76.05,91,87,7.7,overcast clouds
103,Bose,IT,45.4612,8.0137,80.29,70,28,4.83,scattered clouds
104,Bombay,IN,19.0144,72.8479,87.78,79,75,13.8,haze
105,Saint Anthony,US,45.0205,-93.218,63.14,88,0,1.01,clear sky
106,Pucallpa,PE,-8.3791,-74.5539,69.84,100,40,2.3,mist
107,Itarema,BR,-2.9248,-39.9167,85.17,44,17,14.45,few clouds
108,Porto Torres,IT,40.835,8.3972,78.98,70,99,14.9,moderate rain
109,Zabaykalsk,RU,49.6333,117.3167,48.65,30,47,6.78,scattered clouds
110,Colares,PT,38.7992,-9.4469,80.33,56,40,12.66,scattered clouds
111,Codrington,AU,-38.2667,141.9667,50.16,85,100,7.05,overcast clouds
112,Sitka,US,57.0531,-135.33,54.79,88,100,2.55,overcast clouds
113,Bredasdorp,ZA,-34.5322,20.0403,67.26,30,0,21.12,clear sky
114,Kruisfontein,ZA,-34.0033,24.7314,65.88,33,0,16.71,clear sky
115,Longyearbyen,SJ,78.2186,15.6401,40.84,70,75,3.44,broken clouds
116,Esperance,AU,-33.8667,121.9,54.37,76,13,8.28,few clouds
117,Lompoc,US,34.6391,-120.4579,56.59,94,0,3.44,clear sky
118,Provideniya,RU,64.3833,-173.3,47.32,98,100,6.69,overcast clouds
119,Constitucion,CL,-35.3333,-72.4167,51.28,86,100,4.09,overcast clouds
120,Chuy,UY,-33.6971,-53.4616,55.18,88,85,8.95,overcast clouds
121,Otjiwarongo,NA,-20.4637,16.6477,86.83,11,18,17.16,few clouds
122,Hovd,MN,48.0056,91.6419,63.7,39,36,10.89,scattered clouds
123,New Norfolk,AU,-42.7826,147.0587,54.9,63,39,4.0,scattered clouds
124,Thompson,CA,55.7435,-97.8558,39.36,93,75,3.44,broken clouds
125,Tuatapere,NZ,-46.1333,167.6833,50.25,92,76,2.68,broken clouds
126,Roma,US,43.2128,-75.4557,65.95,95,51,9.1,broken clouds
127,Lata,PT,40.1629,-8.3327,71.82,36,0,6.8,clear sky
128,Baikunthpur,IN,23.25,82.55,83.08,75,100,1.61,overcast clouds
129,Chunskiy,RU,56.0815,99.6342,62.83,78,68,11.81,broken clouds
130,Mulanje,MW,-16.0316,35.5,79.77,34,16,12.82,few clouds
131,Hailar,CN,49.2,119.7,49.24,32,13,9.57,few clouds
132,Bambous Virieux,MU,-20.3428,57.7575,77.25,65,40,13.8,scattered clouds
133,Bangolo,CI,7.0069,-7.475,71.22,99,100,0.54,light rain
134,Carutapera,BR,-1.195,-46.02,83.61,70,31,8.57,scattered clouds
135,Lebu,CL,-37.6167,-73.65,48.63,87,100,9.75,overcast clouds
136,Batemans Bay,AU,-35.7167,150.1833,59.09,84,100,3.18,overcast clouds
137,Manacapuru,BR,-3.2997,-60.6206,79.14,67,86,4.05,overcast clouds
138,Seoul,KR,37.5683,126.9778,72.84,85,0,2.3,clear sky
139,Mogadishu,SO,2.0371,45.3438,78.53,74,32,19.57,scattered clouds
140,Sakakah,SA,29.9697,40.2064,105.66,7,0,4.45,clear sky
141,Pasni,PK,25.2631,63.471,80.51,80,3,18.79,clear sky
142,Zaysan,KZ,47.4667,84.8667,77.7,17,4,4.68,clear sky
143,Morros,BR,-9.4467,-46.3003,77.2,44,10,15.52,clear sky
144,Nizhniy Chir,RU,48.3597,43.0865,89.02,26,36,2.28,scattered clouds
145,Lumby,CA,50.2498,-118.969,61.9,78,7,2.95,clear sky
146,Mar Del Plata,AR,-38.0023,-57.5575,51.1,55,7,7.0,clear sky
147,Jiujiang,CN,29.7333,115.9833,70.61,82,100,8.3,overcast clouds
148,Sao Filipe,CV,14.8961,-24.4956,76.64,82,83,12.06,light rain
149,Candelaria,PH,13.9311,121.4233,80.38,93,98,4.99,overcast clouds
150,Touros,BR,-5.1989,-35.4608,80.29,59,74,18.01,broken clouds
151,Krasnyy Chikoy,RU,50.3643,108.7512,49.51,69,22,4.34,few clouds
152,Villafranca De Los Barros,ES,38.5614,-6.3381,82.6,21,1,5.41,clear sky
153,Saint-Philippe,RE,-21.3585,55.7679,76.59,78,59,7.76,light rain
154,Torbay,CA,47.6666,-52.7314,70.75,88,64,8.99,broken clouds
155,Ancud,CL,-41.8697,-73.8203,46.22,96,100,4.16,light rain
156,Georgetown,MY,5.4112,100.3354,85.98,74,20,4.61,few clouds
157,Winchester,GB,51.0651,-1.3187,74.68,54,40,18.41,scattered clouds
158,Qaanaaq,GL,77.484,-69.3632,32.05,65,0,4.72,clear sky
159,Faanui,PF,-16.4833,-151.75,77.41,67,12,20.31,few clouds
160,Zyryanka,RU,65.75,150.85,47.7,46,30,6.02,scattered clouds
161,Alice Springs,AU,-23.7,133.8833,62.15,48,100,9.22,light rain
162,Zavitinsk,RU,50.1167,129.45,57.47,85,60,7.09,broken clouds
163,Bogorodskoye,RU,56.55,37.8833,58.26,72,94,15.17,overcast clouds
164,Mahebourg,MU,-20.4081,57.7,75.25,68,5,10.33,clear sky
